ID,Distance,Layer,Type,Method
113,0.5613719548613367,conv1,WT,NNSTD
113,0.7677974022801859,conv2,WT,NNSTD
113,0.9444871714220289,dense1,WT,NNSTD
113,0.8446929195834715,dense2,WT,NNSTD
113,0.9537264576985172,dense3,WT,NNSTD
114,0.575813332949193,conv1,WT,NNSTD
114,0.7676999943577738,conv2,WT,NNSTD
114,0.9447513264246427,dense1,WT,NNSTD
114,0.8457946871087971,dense2,WT,NNSTD
114,0.9515285049291762,dense3,WT,NNSTD
115,0.5673776589042407,conv1,WT,NNSTD
115,0.7723614466835811,conv2,WT,NNSTD
115,0.9453271604371846,dense1,WT,NNSTD
115,0.8462204973684214,dense2,WT,NNSTD
115,0.9335309795576624,dense3,WT,NNSTD
116,0.5768258087935672,conv1,WT,NNSTD
116,0.7702494271514484,conv2,WT,NNSTD
116,0.9454511789881204,dense1,WT,NNSTD
116,0.8468466942528161,dense2,WT,NNSTD
116,0.9270946274514797,dense3,WT,NNSTD
117,0.5746499308896512,conv1,WT,NNSTD
117,0.7693996557778194,conv2,WT,NNSTD
117,0.9453488436053297,dense1,WT,NNSTD
117,0.8469431007056043,dense2,WT,NNSTD
117,0.9424709619453235,dense3,WT,NNSTD
118,0.5764478174930718,conv1,WT,NNSTD
118,0.7707770166646997,conv2,WT,NNSTD
118,0.945208592567552,dense1,WT,NNSTD
118,0.8477607450666843,dense2,WT,NNSTD
118,0.9455422141769365,dense3,WT,NNSTD
119,0.5620638413685772,conv1,WT,NNSTD
119,0.76949580067064,conv2,WT,NNSTD
119,0.9455975185043228,dense1,WT,NNSTD
119,0.8487098976394711,dense2,WT,NNSTD
119,0.9545912015730014,dense3,WT,NNSTD
120,0.5708755670176916,conv1,WT,NNSTD
120,0.768846464281887,conv2,WT,NNSTD
120,0.9452080116973829,dense1,WT,NNSTD
120,0.8451096897644764,dense2,WT,NNSTD
120,0.9594023941690946,dense3,WT,NNSTD
